Date,Close,High,Low,Open,Volume
2024-08-01,2435.0,2455.10009765625,2430.39990234375,2446.699951171875,690
2024-08-02,2425.699951171875,2477.0,2416.0,2444.0,550
2024-08-05,2401.699951171875,2449.800048828125,2367.39990234375,2442.0,334
2024-08-06,2389.10009765625,2421.800048828125,2380.0,2414.5,163
2024-08-07,2390.5,2401.0,2384.5,2392.199951171875,130
2024-08-08,2422.199951171875,2422.800048828125,2384.300048828125,2384.300048828125,201
2024-08-09,2432.10009765625,2432.10009765625,2418.5,2422.300048828125,611
2024-08-12,2462.39990234375,2469.800048828125,2432.0,2432.699951171875,566
2024-08-13,2466.699951171875,2470.0,2456.5,2461.0,510
2024-08-14,2439.39990234375,2472.10009765625,2439.39990234375,2468.0,274
2024-08-15,2453.10009765625,2467.699951171875,2431.199951171875,2451.800048828125,285
2024-08-16,2498.60009765625,2508.0,2451.39990234375,2453.5,197
2024-08-19,2501.800048828125,2508.5,2487.199951171875,2508.5,88
2024-08-20,2511.300048828125,2527.300048828125,2500.699951171875,2503.5,187
2024-08-21,2508.39990234375,2515.39990234375,2503.89990234375,2511.0,96
2024-08-22,2478.89990234375,2504.10009765625,2471.10009765625,2504.10009765625,210
2024-08-23,2508.39990234375,2508.39990234375,2486.5,2486.5,94
2024-08-26,2517.699951171875,2523.10009765625,2509.10009765625,2509.89990234375,290
2024-08-27,2516.0,2523.10009765625,2506.89990234375,2515.199951171875,100
2024-08-28,2501.0,2501.0,2501.0,2501.0,2353
2024-08-29,2525.699951171875,2525.699951171875,2503.89990234375,2504.10009765625,3966
2024-08-30,2493.800048828125,2525.39990234375,2493.800048828125,2519.5,208
2024-09-03,2489.89990234375,2501.800048828125,2476.300048828125,2501.60009765625,206
2024-09-04,2493.39990234375,2493.39990234375,2483.5,2490.89990234375,470
2024-09-05,2511.39990234375,2513.300048828125,2493.39990234375,2493.699951171875,54
2024-09-06,2493.5,2517.89990234375,2483.699951171875,2510.300048828125,96
2024-09-09,2501.800048828125,2504.699951171875,2491.300048828125,2491.300048828125,96
2024-09-10,2512.300048828125,2512.300048828125,2512.300048828125,2512.300048828125,5
2024-09-11,2512.10009765625,2525.800048828125,2502.300048828125,2525.800048828125,90
2024-09-12,2551.199951171875,2557.0,2523.39990234375,2529.10009765625,132
2024-09-13,2581.300048828125,2581.800048828125,2565.0,2568.800048828125,31
2024-09-16,2580.39990234375,2580.39990234375,2580.39990234375,2580.39990234375,28
2024-09-17,2564.300048828125,2581.800048828125,2564.300048828125,2581.199951171875,22
2024-09-18,2570.699951171875,2570.699951171875,2549.199951171875,2570.699951171875,25
2024-09-19,2588.0,2588.0,2566.0,2566.0,99
2024-09-20,2619.89990234375,2621.800048828125,2590.39990234375,2590.39990234375,17
2024-09-23,2626.5,2626.5,2626.5,2626.5,9
2024-09-24,2651.199951171875,2662.300048828125,2625.5,2636.800048828125,35
2024-09-25,2659.199951171875,2664.199951171875,2649.300048828125,2656.300048828125,175
